full_name,profession_id,profession_group_id,gender,date_of_birth,hire_date,resignation_date
"Ahmad Santoso, M.KM",14,2,M,1974-01-25,2006-03-10,
Wati Gunawan,19,2,F,1984-02-10,2018-09-05,
"Mira Purwanto, Ners",3,1,F,1971-12-01,2000-11-01,
"Yuni Prasetyo, dr. Sp.OG",2,1,F,1969-08-16,2001-07-30,
"M.Kes, Susilo Lubis",5,1,M,1966-04-30,1984-05-06,
Zahra Pasaribu,17,2,F,1995-03-09,2025-01-23,
"Ayu Hutabarat, M.Ft",10,1,F,1991-05-10,2021-09-19,
Tiara Setiawan,3,1,F,1971-05-21,1999-02-23,
"Bambang Setiawan, M.Kes",5,1,M,1984-05-29,2024-02-10,2025-04-20
Fani Saputra,23,2,F,1989-05-14,2025-05-07,
"Ika Wibowo, Dr.",3,1,F,1996-05-20,2019-08-19,
"S.T, Kurniawan Lubis",6,1,M,1994-06-06,2022-08-18,
"Wati Hutapea, M.KM",16,2,F,1986-03-07,2021-07-26,
Zara Saputra,20,2,F,1997-12-15,2025-08-24,
Novita Sari,20,2,F,1975-02-14,1999-04-11,2000-08-09
"Sp.Kep, Wati Hakim",3,1,F,1994-03-19,2019-05-29,
"Indra Susanto, S.Adm",17,2,M,1965-12-09,1999-01-08,
"Retno Gunawan, S.Farm",9,1,F,1970-03-11,1995-08-07,
"Maya Wibowo, S.Kep",3,1,F,1995-12-15,2015-07-15,
"dr., Intan Saputra",1,1,F,2002-08-30,2021-12-30,2024-07-15
"Wulan Simbolon, S.Sos",17,2,F,1979-07-29,2017-08-04,
"Diana Suprapto, S.T",6,1,F,1978-06-22,2008-11-02,
Irfan Simanjuntak,20,2,M,1976-03-31,2016-05-05,
"Sinta Saputra, A.Md.Kep",3,1,F,1981-05-10,2000-04-24,
"Elia Nugroho, M.Kep",3,1,F,1980-01-31,2000-09-30,
Purwanto Firmansyah,20,2,M,1998-11-29,2021-08-24,
Diah Sari,21,2,F,1997-11-29,2018-11-10,
Mega Prasetyo,3,1,F,1993-09-02,2023-11-02,
Tiara Saputra,15,2,F,1972-01-19,2003-10-22,
"Bella Sitompul, Dr.",1,1,F,1985-10-04,2008-12-18,
Citra Nasution,3,1,F,2001-07-24,2019-11-30,
"A.Md.Rad, Maya Hartono",7,1,F,1973-12-25,2012-11-22,
Yuliana Purwanto,3,1,F,1989-01-17,2014-03-24,2021-02-17
"Zara Tampubolon, S.Keb",4,1,F,1982-08-07,2014-02-21,
Tuti Budiman,20,2,F,1973-03-15,2012-06-04,2013-01-24
"M.Kep, Kusuma Wijaya",3,1,M,1985-10-13,2013-05-29,2022-01-16
"drg. Sp.Perio, Rina Wibowo",2,1,F,1970-01-28,2005-07-24,
"MD, Puspita Pasaribu",1,1,F,1979-05-24,1997-10-28,
"S.Kes, Eko Pratama",14,2,M,1980-10-26,2007-09-14,
"Wulan Hermawan, A.Md.Kep",3,1,F,1975-07-16,2011-10-01,
"Sri Kusuma, Ir.",13,2,F,1992-06-07,2017-02-02,
"S.Tr.RMIK, Indra Situmorang",16,2,M,2001-04-05,2022-12-13,
"S.Farm, Indra Pasaribu",9,1,M,2002-03-16,2023-01-30,
"Rina Hartono, S.Si",8,1,F,1994-06-27,2015-11-27,
"MBBS, Fitri Siahaan",1,1,F,1974-12-28,2008-12-17,
"Puspita Gunawan, Ners",3,1,F,1970-10-21,2009-11-08,
"Mira Gunawan, S.Kom",15,2,F,1985-11-26,2008-11-17,
"S.Tr.Kes, Firmansyah Santoso",21,2,M,1986-04-03,2008-02-11,
"M.Kes, Yoga Hakim",5,1,M,1990-03-19,2010-07-20,
"Novita Pratama, Dr.",1,1,F,1986-07-23,2011-04-01,
"M.Kep, Silvi Sugiarto",3,1,F,1985-01-26,2012-08-15,
"Sp.Kep, Cahyo Kusuma",3,1,M,1985-10-04,2006-03-25,
"Novita Hutabarat, dr. Sp.U",2,1,F,1986-12-17,2023-03-27,
"Purwanto Purwanto, S.Ft",10,1,M,1995-01-06,2017-08-29,
"M.Kep, Prasetyo Siregar",3,1,M,1973-01-02,1998-03-04,
"Yuni Putra, dr. Sp.S",2,1,F,1993-09-01,2017-07-04,
Linda Kurniawan,4,1,F,1999-05-27,2022-08-30,
"Anisa Hakim, A.Md.Kep",3,1,F,1971-08-17,2007-02-03,
Lestari Firmansyah,3,1,F,1983-06-05,2020-10-23,
"S.Kep, Dwi Simanjuntak",3,1,M,1994-04-16,2025-05-15,
"Budi Widodo, M.M",17,2,M,1993-08-30,2016-07-30,
"Rina Utomo, Ners",3,1,F,1990-12-20,2017-05-06,
Rina Firmansyah,20,2,F,1982-09-29,2015-08-25,
"S.Kep, Ratna Wijaya",3,1,F,1976-06-12,2010-05-14,
"Budi Kurniawan, drg. Sp.Ort",2,1,M,1968-11-16,1993-06-26,
Anisa Widodo,19,2,F,1974-11-03,1997-08-08,2015-11-06
Endah Sinaga,4,1,F,1978-10-08,2008-01-22,
Gilang Situmorang,19,2,M,1993-09-30,2024-09-09,
"M.Kep, Joko Hakim",3,1,M,1967-09-22,1997-05-14,
Sari Pasaribu,11,1,F,2003-11-16,2022-04-29,2024-03-21
"S.T, Joko Utomo",24,2,M,1986-04-25,2025-07-23,
"Fajar Hidayat, drg. Sp.KGA",2,1,M,1993-03-23,2022-03-18,
Indah Sinaga,3,1,F,1981-04-11,2017-11-21,
"dr. Sp.KK, Joko Wijaya",2,1,M,1975-09-20,1997-01-09,
Made Kurniawan,1,1,M,1996-05-20,2018-02-14,
"Ners, Vina Raharjo",3,1,F,1974-09-08,1999-12-11,
"Anisa Hermawan, M.Kep",3,1,F,1989-04-06,2023-08-02,2025-08-19
"Nanang Putra, S.T",24,2,M,1994-09-12,2018-02-13,
"Galih Simbolon, A.Md.Keb",4,1,M,1974-11-01,2009-04-19,
Tiara Purwanto,23,2,F,1981-03-26,2004-11-28,
"A.Md.Kep, Iwan Panjaitan",3,1,M,1984-01-05,2021-01-22,
Rini Hartono,6,1,F,1975-10-17,2013-10-27,
"S.T, Yanti Prasetyo",15,2,F,1992-05-25,2024-11-27,
"A.Md.Kes, Fajar Hartono",12,1,M,1999-02-15,2025-02-22,
"A.Md.AK, Nur Hermawan",8,1,F,1986-03-25,2025-05-01,
Mega Purwanto,23,2,F,2003-01-14,2022-09-08,
"Drs., Putri Sugiarto",13,2,F,2001-02-05,2025-08-24,
"Maya Prabowo, Sp.Kep",3,1,F,2001-12-30,2022-12-27,
"Dewi Susanto, M.T",13,2,F,1969-04-15,2001-06-15,
Firmansyah Hakim,8,1,M,2001-10-09,2021-11-12,
Prasetyo Susanto,4,1,M,1974-08-03,2000-06-01,2017-03-27
Tuti Susanto,15,2,F,1969-03-05,1989-11-20,
"Kurniawan Prasetyo, MBBS",1,1,M,1984-03-23,2013-12-07,
"dr. Sp.An, Kurniawan Wijayanto",2,1,M,1975-03-22,1998-09-21,2012-02-24
Haris Permana,14,2,M,1990-10-27,2016-09-02,
Dedi Nasution,10,1,M,1983-08-27,2017-12-11,2023-06-15
"Putri Pasaribu, Sp.Farm",9,1,F,1967-04-26,2007-03-27,
"Ners, Mega Utomo",3,1,F,1976-02-28,2004-10-25,
"Bd., Tri Wijayanto",4,1,F,1967-09-21,1996-11-01,
Bayu Saputra,19,2,M,1999-10-31,2019-10-07,2020-03-31
"Dr., Intan Pratama",3,1,F,1970-03-11,2002-11-21,
Jaya Putra,10,1,M,1975-02-20,1995-08-20,
"Cahyo Saputra, M.KM",16,2,M,1993-02-16,2019-06-16,
"Retno Pratama, Dr.",3,1,F,2001-12-29,2021-09-17,
"Intan Pratama, S.Kes",5,1,F,1980-02-19,2002-07-13,
Susilo Simanjuntak,22,2,M,1999-08-21,2025-05-29,
"S.Ked, Yanti Nugroho",1,1,F,1975-02-21,1999-10-02,
Kartika Tampubolon,5,1,F,2003-03-23,2024-02-07,
"SST, Bella Priyanto",4,1,F,1983-10-16,2003-09-22,
Joko Tampubolon,18,2,M,1977-02-05,2011-05-18,
"Made Prabowo, A.Md",17,2,M,1988-05-28,2010-07-04,2014-12-05
"MBA, Silvi Pasaribu",13,2,F,1987-09-29,2023-12-14,
"MBA, Nur Wibowo",13,2,F,1970-02-23,2004-08-31,
"Bella Sugiarto, Apt.",9,1,F,1991-09-29,2025-07-25,
"Wahyu Sari, S.Kom",15,2,M,1996-02-14,2017-04-18,
"Prasetyo Saputra, S.Kes",5,1,M,1978-09-15,2005-12-21,
Wawan Sitompul,1,1,M,1968-02-22,1999-08-08,2009-02-01
"Kusuma Siregar, S.Kep",3,1,M,1972-10-01,1999-01-10,
"A.Md.Kes, Indra Lubis",8,1,M,1967-04-29,1990-12-21,
"Sinta Sinaga, S.Kes",5,1,F,1966-12-17,1986-04-12,
"Sri Hartono, dr. Sp.B",2,1,F,1982-07-22,2000-07-17,
"dr. Sp.B, Mega Wijayanto",2,1,F,2002-10-28,2021-11-15,
Dewi Malik,3,1,F,2003-07-27,2022-02-20,2023-09-01
"Sp.Kep, Bella Nugroho",3,1,F,1975-01-17,1994-07-08,
"Vera Maulana, dr.",1,1,F,1973-11-06,1996-07-27,
"Haris Sugiarto, dr. Sp.A",2,1,M,1970-08-05,2003-02-16,2008-08-20
"Ners, Hendra Prabowo",3,1,M,1966-12-23,1995-11-26,
Citra Setiadi,9,1,F,1987-08-16,2011-10-11,
"M.Keb, Putri Hakim",4,1,F,1984-07-27,2016-02-27,
Hendra Hutabarat,19,2,M,1966-07-20,2004-05-01,
Tiara Priyanto,3,1,F,1969-11-16,1999-09-26,
"S.Ak, Indra Gunawan",18,2,M,1972-06-09,2000-03-15,
Lina Sugiarto,18,2,F,1996-05-16,2025-03-01,
"S.Kes, Hendra Setiadi",5,1,M,2002-12-25,2025-03-05,
Dimas Kurniawan,19,2,M,1999-03-25,2022-01-10,2024-03-28
"S.Ked, Hadi Kurniawan",1,1,M,1971-05-13,1998-08-31,
"Cahyo Sitompul, S.Tr.Kes",21,2,M,1991-12-08,2017-11-01,
"Wawan Suryanto, dr.",1,1,M,2003-12-08,2023-12-12,
"A.Md.Kes, Nanang Simbolon",21,2,M,1979-10-03,2012-04-12,2023-10-14
"Hesti Sitompul, A.Md",17,2,F,1987-12-23,2020-07-06,
"Iwan Lubis, A.Md.Kes",5,1,M,1970-05-18,2002-03-02,
"Ayu Saputra, S.Ked",1,1,F,1987-07-29,2020-01-15,
"Putri Panjaitan, MD",1,1,F,1975-05-16,2007-05-23,
Elia Budiman,20,2,F,1974-10-22,2008-01-05,
"Cahyo Pasaribu, M.M",13,2,M,1972-11-21,1998-07-04,
"M.M, Rina Purwanto",17,2,F,1999-09-12,2021-09-24,
Nugroho Widodo,19,2,M,1968-12-30,2007-10-31,
"Purwanto Lubis, A.Md",17,2,M,1982-06-08,2009-10-02,
"M.Kep, Puspita Wibowo",3,1,F,1978-10-15,2016-05-26,
Bayu Saputra,17,2,M,1986-08-19,2010-03-30,
Rahmat Panjaitan,18,2,M,1997-10-26,2019-08-01,
"M.Kes, Kartika Hermawan",5,1,F,1994-09-06,2018-02-20,
"Endah Simanjuntak, Dr.",3,1,F,2002-03-23,2025-07-22,
"Pharm.D, Yuni Saputra",9,1,F,1969-05-10,2001-09-23,
"Dedi Malik, S.KM",25,2,M,1997-10-06,2019-12-17,
Endah Permana,20,2,F,1980-07-05,2015-11-22,
"dr. Sp.Rad, Fitri Raharjo",2,1,F,1989-11-01,2013-06-29,
Zara Saputra,20,2,F,1999-03-06,2019-07-22,
Farhan Hutabarat,14,2,M,1981-10-02,2009-10-26,
"Intan Nasution, Dra.",13,2,F,1966-01-06,1984-09-30,
"MBA, Farhan Setiawan",13,2,M,1969-03-27,1989-02-21,
"MARS, Lestari Simbolon",14,2,F,2000-09-14,2019-09-01,
"Citra Purwanto, S.Sos",17,2,F,1984-03-14,2016-06-11,
"drg. Sp.Ort, Intan Prasetyo",2,1,F,1977-03-02,2012-08-26,
"S.T, Ade Manurung",15,2,M,1982-12-18,2003-10-12,
Bayu Hidayat,3,1,M,1989-05-24,2023-11-19,
"Dr., Mira Purwanto",3,1,F,1988-12-09,2020-09-02,
"SST, Silvi Saputra",4,1,F,1989-10-04,2007-12-09,
"Bayu Hakim, S.Tr.Kes",8,1,M,1998-04-24,2024-05-25,
"Mira Suryanto, M.Ft",10,1,F,1981-02-01,2021-10-19,
"Jaya Purwanto, S.T",24,2,M,1995-02-22,2018-12-24,
"A.Md.Kes, Rudi Setiawan",12,1,M,2000-11-11,2024-11-11,
"Candra Gunawan, S.Kom",15,2,M,1988-10-06,2019-12-26,
"Sinta Sari, M.Keb",4,1,F,1982-11-09,2020-09-09,
Diana Putra,20,2,F,2001-09-16,2023-03-02,
"Elia Sinaga, M.Kes",5,1,F,1980-08-21,2009-04-19,2021-07-04
"Yuliana Wijaya, M.M",13,2,F,1996-11-17,2020-03-07,
"Endah Susanto, S.Adm",17,2,F,1974-08-05,2005-03-06,
"Wulan Hakim, A.Md.Keb",4,1,F,1974-03-30,1999-12-25,
"Rahmat Simanjuntak, A.Md.RMIK",16,2,M,1977-12-31,2000-05-13,
"SST, Haris Hidayat",4,1,M,1984-10-02,2004-02-12,
"M.Kep, Usman Gunawan",3,1,M,1990-04-27,2017-07-04,
"Nadia Nasution, dr. Sp.An",2,1,F,1993-06-03,2015-05-04,
Yanti Kusuma,3,1,F,1974-04-12,1993-01-11,
Ningsih Setiadi,17,2,F,1999-01-07,2023-10-01,
"Dr., Citra Utomo",3,1,F,1999-04-02,2018-06-17,
"S.Kom, Zahra Wijaya",15,2,F,1975-11-07,2014-05-22,
"Sp.Farm, Yoga Pratama",9,1,M,1979-07-27,2019-06-02,
"Fitri Siregar, Dr.",3,1,F,1994-10-17,2017-09-08,
Firmansyah Pratama,18,2,M,1982-02-22,2011-04-25,
Budi Santoso,20,2,M,1989-08-17,2012-08-05,
"Ir., Bella Setiawan",13,2,F,1979-09-26,2002-08-07,
"Yanto Sari, RD",11,1,M,1981-09-16,2005-07-16,
"M.M, Galih Sari",17,2,M,1999-12-02,2020-05-12,
"dr., Galih Hutabarat",1,1,M,1982-02-04,2015-02-07,
Retno Pratama,20,2,F,1980-12-22,2000-05-09,
"Zara Hartono, Ners",3,1,F,1971-03-02,1992-05-18,
"Wulan Wijaya, M.KM",16,2,F,1987-06-02,2007-11-04,
"Dewi Prabowo, Ners",3,1,F,1994-01-07,2018-08-04,
Diah Siahaan,5,1,F,2002-07-11,2024-07-06,
"A.Md.Kes, Ayu Prasetyo",8,1,F,1993-06-04,2022-04-22,
"M.Kep, Candra Wibowo",3,1,M,1980-12-05,2001-06-08,
Oki Sitompul,20,2,M,1981-07-27,2011-05-18,
"S.Keb, Yuni Hermawan",4,1,F,1969-11-17,2003-09-04,
"Ningsih Putra, DrPH",14,2,F,1996-09-19,2024-02-12,
"dr. Sp.Rad, Fajar Wibowo",2,1,M,1980-11-18,2010-06-28,
"Ners, Indah Suprapto",3,1,F,1965-05-03,1999-08-29,
Kusuma Hutapea,19,2,M,1967-07-17,1986-11-15,
"Yuni Setiadi, S.Adm.Kes",13,2,F,1974-09-24,2000-10-02,2007-01-18
"S.Kes, Oki Simbolon",5,1,M,1992-07-06,2019-12-01,
Bayu Panjaitan,20,2,M,1977-05-14,2015-07-02,
"Silvi Tampubolon, S.Tr.Kes",8,1,F,1983-04-06,2023-06-18,
"S.Tr.Kes, Anisa Prabowo",12,1,F,2001-05-02,2023-02-22,
"M.Kep, Silvi Hutapea",3,1,F,2003-07-29,2023-03-24,
Gilang Siahaan,22,2,M,1991-10-16,2010-12-28,
Taufik Hutabarat,6,1,M,1981-03-18,2018-08-14,
Linda Permana,20,2,F,1982-01-02,2002-07-16,
"Kurniawan Tampubolon, Apt.",9,1,M,1993-01-16,2011-07-24,
"Widya Santoso, M.KM",14,2,F,1976-08-09,2009-05-08,
"Dr., Endah Nasution",3,1,F,1981-01-11,2006-03-01,
"Gunawan Saputra, Sp.Kep",3,1,M,1990-05-26,2021-02-09,
"Citra Siahaan, A.Md.Kep",3,1,F,1971-10-29,2009-01-19,
"S.Kep, Ani Susanto",3,1,F,1965-03-09,1988-07-09,
"Dr., Prasetyo Prasetyo",3,1,M,1966-03-13,2004-12-17,
Slamet Saputra,3,1,M,1977-12-28,2013-03-26,
"Tiara Priyanto, A.Md.Keb",4,1,F,1982-07-23,2014-05-25,
Ayu Nugroho,20,2,F,1984-09-10,2015-09-20,
Nugroho Nugroho,18,2,M,1985-01-29,2005-09-24,
Hadi Maulana,20,2,M,1974-09-12,2010-09-29,
"S.Tr.Kes, Rahmat Hutabarat",8,1,M,1977-03-24,2012-08-15,
"M.M, Yanto Wijayanto",17,2,M,1995-06-28,2019-10-16,
"S.Gz, Sri Hermawan",11,1,F,1972-02-24,1999-01-02,
Zulkifli Sari,17,2,M,2001-02-28,2019-08-03,
"Widya Sugiarto, A.Md.Kep",3,1,F,1999-09-16,2019-11-01,
Fani Gunawan,3,1,F,1977-06-20,1997-04-12,
Linda Prasetyo,20,2,F,1984-03-10,2024-04-22,
"A.Md.T, Purwanto Simanjuntak",24,2,M,1992-03-06,2017-11-22,
"M.M, Joko Setiadi",13,2,M,1977-11-11,2009-08-20,
"Puspita Situmorang, SST",7,1,F,1995-07-12,2014-07-22,
Galih Hakim,3,1,M,1980-04-11,2008-10-26,
"S.E, Budi Lubis",17,2,M,1966-09-25,2000-06-13,
"Sp.Kep, Lestari Purwanto",3,1,F,1982-05-12,2000-06-22,
Teguh Malik,1,1,M,1996-06-25,2017-04-26,
"Rudi Budiman, S.Ked",1,1,M,2000-09-29,2024-12-05,
"Yuliana Rahman, A.Md.Kep",3,1,F,1971-07-13,2008-02-09,
Sari Setiawan,7,1,F,1974-07-18,1999-01-23,
"Made Nasution, Sp.Kep",3,1,M,1984-11-30,2012-12-25,
"Ners, Diana Prabowo",3,1,F,1988-12-21,2021-07-21,
"Sari Sinaga, M.Kep",3,1,F,1980-05-20,2017-07-29,
"Candra Pasaribu, S.T",15,2,M,1998-02-21,2016-03-15,
"RD, Wulan Raharjo",11,1,F,1992-04-29,2013-04-05,
"Yuliana Situmorang, S.Adm",17,2,F,1998-11-10,2021-09-16,2025-04-03
Dimas Tampubolon,20,2,M,2001-11-02,2019-08-13,
"Vera Sari, Sp.Kep",3,1,F,1997-03-08,2021-09-05,
"Wulan Budiman, S.Tr.Kes",12,1,F,1995-02-11,2014-01-13,
Nugroho Sitompul,22,2,M,1982-07-11,2019-08-17,
"S.KM, Ika Wijayanto",16,2,F,1977-10-29,2004-11-18,
Nur Widodo,7,1,F,1967-02-08,1992-09-12,
"Tiara Manurung, S.Adm.Kes",13,2,F,2002-07-04,2024-07-08,
"S.Ked, Sri Purwanto",1,1,F,2002-04-05,2020-10-26,
"Fani Sari, Sp.Kep",3,1,F,1974-02-26,2005-06-02,
"S.Kep, Mega Priyanto",3,1,F,1986-12-19,2005-12-04,
"MBA, Eko Wibowo",13,2,M,1978-12-05,1998-12-09,
Rina Sugiarto,3,1,F,1978-03-09,1998-10-28,
Fani Siahaan,22,2,F,1967-04-08,2005-09-11,
"Ade Firmansyah, A.Md",17,2,M,1986-10-09,2015-12-04,
"Eko Hakim, A.Md.Kep",3,1,M,1981-09-12,2011-11-10,
"S.Kes, Farhan Pratama",5,1,M,1983-10-17,2011-01-01,
"Wahyu Widodo, A.Md.Kes",21,2,M,1999-10-08,2024-12-18,
"Rahmat Sinaga, A.Md.Kes",21,2,M,1974-11-22,1997-03-10,
"Oki Sinaga, Ners",3,1,M,1967-03-10,1988-09-10,1992-03-14
"dr. Sp.S, Kusuma Siahaan",2,1,M,1988-08-13,2021-04-07,
"S.T, Fajar Malik",24,2,M,1980-12-31,2001-01-30,2008-04-22
"Dr., Rudi Prabowo",1,1,M,1970-02-23,1992-04-23,
"Yanto Lubis, Sp.Kep",3,1,M,1971-09-27,1990-12-22,
"Linda Budiman, drg. Sp.Perio",2,1,F,1965-07-22,1997-06-04,
Mahendra Manurung,23,2,M,1988-11-19,2025-09-04,
"Cahyo Pasaribu, Dr.",3,1,M,1971-07-21,2005-01-24,
Yanto Wibowo,4,1,M,1973-09-28,2012-09-18,
"Wati Gunawan, RD",11,1,F,1978-12-13,2011-08-23,
"Rini Sari, S.Tr.Rad",7,1,F,1984-12-16,2012-08-15,
"MBBS, Bambang Suprapto",1,1,M,1987-04-22,2023-10-11,
"Dimas Susanto, M.Kep",3,1,M,1971-04-05,1993-06-23,
Puspita Hutapea,23,2,F,1998-04-26,2018-03-08,
"M.T, Linda Pasaribu",13,2,F,1991-01-30,2019-12-02,
"S.Adm, Mira Manurung",17,2,F,1992-09-22,2023-11-01,
"S.Kes, Rina Permana",5,1,F,1971-11-25,2001-08-14,2007-12-11
"Teguh Nasution, S.Ked",1,1,M,1983-12-19,2007-03-03,
"Slamet Setiadi, Sp.Farm",9,1,M,1967-11-19,1997-09-29,
"S.E, Indah Rahman",18,2,F,1974-11-25,2005-11-01,
"Intan Situmorang, dr. Sp.Rad",2,1,F,1998-06-25,2021-08-31,
Mega Sinaga,20,2,F,1997-03-04,2019-10-13,
"S.Kep, Hadi Kusuma",3,1,M,1992-06-01,2018-01-07,
Diana Hidayat,3,1,F,1965-08-20,1985-08-18,2001-10-02
"MBA, Usman Lubis",13,2,M,1975-04-18,2012-09-23,
"Cahyo Setiawan, S.KM",25,2,M,1993-09-08,2021-01-06,
Putri Pasaribu,23,2,F,1992-07-20,2024-10-04,
"Rahmat Hutapea, S.Kep",3,1,M,1966-07-09,1999-03-20,
"M.Adm.Kes, Gilang Sitompul",13,2,M,1995-03-18,2022-02-12,
"Farhan Saputra, dr. Sp.P",2,1,M,1997-07-26,2023-06-07,2025-10-26
Nanang Prabowo,21,2,M,1998-01-16,2018-06-22,
"Sp.Farm, Vera Situmorang",9,1,F,1969-08-25,2001-05-06,
"Ners, Gunawan Suprapto",3,1,M,1968-01-15,1991-04-26,2002-01-14
"Dewi Hutapea, Dr.",1,1,F,1996-07-27,2025-05-23,
"Tuti Utomo, Sp.Kep",3,1,F,1980-08-08,2012-06-27,
Jaya Malik,3,1,M,1968-02-15,1989-10-05,
Maya Hutapea,20,2,F,1985-12-09,2008-02-11,2011-06-07
"Lukas Simanjuntak, Dr.",3,1,M,1973-12-13,2004-07-18,
Nadia Wibowo,20,2,F,1967-12-26,1985-07-24,
Rahmat Nasution,12,1,M,1999-07-10,2017-01-23,
"Intan Maulana, S.KM",14,2,F,1995-08-31,2015-10-06,
"Ratna Utomo, dr. Sp.M",2,1,F,1995-09-20,2022-07-18,
Farhan Utomo,16,2,M,1998-06-26,2016-08-16,
"Silvi Lubis, Apt.",9,1,F,2002-01-29,2020-09-22,2025-05-02
Galih Simbolon,19,2,M,1974-10-25,2014-11-05,
Jaya Simbolon,19,2,M,1985-09-07,2020-01-25,
"M.KM, Tiara Purwanto",16,2,F,1990-04-29,2012-05-25,
Yuni Pratama,20,2,F,1981-01-12,2004-07-12,
"Galih Sugiarto, M.M",17,2,M,1997-10-13,2015-02-19,
"Vera Widodo, S.Tr.Kes",21,2,F,1987-02-18,2010-11-24,
"Sri Wijaya, Dr.",3,1,F,2000-02-01,2021-11-24,
"MBA, Oki Suprapto",13,2,M,1984-04-26,2021-11-12,
"Lina Siahaan, Dr.",3,1,F,1985-10-17,2004-12-31,2019-11-28
"Mira Suprapto, Dr.",3,1,F,2003-02-11,2022-10-17,
Mahendra Simbolon,22,2,M,2003-04-12,2024-06-29,
Kusuma Hermawan,22,2,M,1970-07-22,1996-12-16,2012-11-04
Citra Nasution,1,1,F,1992-09-28,2025-10-07,
"Ratna Kusuma, Bd.",4,1,F,1999-01-12,2019-01-10,
"A.Md.Keb, Fani Firmansyah",4,1,F,1973-02-08,2001-10-05,
"M.Kep, Rina Susanto",3,1,F,1998-09-24,2024-06-16,
"Fani Prasetyo, M.Ked",1,1,F,1993-05-27,2017-06-01,
